Name,Powers,webDiplomacy,vDiplomacy,Dictionary,Ignore,Start,Messaging
ClassicFvA,"['Austria', 'France']",ClassicFvA,ClassicFvA, Classic,[108388],1901.0,All
ClassicGunboat,"['Austria', 'England', 'France', 'Germany', 'Italy', 'Russia', 'Turkey']",Classic,Classic,Classic,"[108388, 108978, 108979, 108980, 108982, 108983]",1901.0,Gunboat
